Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price
September,Europe,Apparel,Performance,Dri-FIT,Premium,40029,2001450,71,50
June,Japan,Footwear,Football,Mercurial,Mid-Range,33407,4342910,70,130
September,Greater China,Equipment,Bags,Backpack,Premium,39670,3967000,90,100
July,India,Equipment,Accessories,Bags,Budget,8891,2044930,82,230
February,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,39076,7424440,67,190
July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,23339,7001700,84,300
August,India,Equipment,Accessories,Hats,Budget,18192,5093760,74,280
December,Japan,Footwear,Football,Phantom Vision,Budget,18898,3968580,55,210
January,Europe,Apparel,Tops,Tech Fleece,Budget,6063,1455120,63,240
September,South Korea,Apparel,Tops,Tech Fleece,Budget,23137,3239180,54,140
May,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,24321,4134570,73,170
November,Greater China,Equipment,Bags,Gym Sack,Budget,49992,13997760,64,280
June,Japan,Equipment,Accessories,Bags,Mid-Range,40020,4002000,77,100
October,South Korea,Footwear,Football,Mercurial,Mid-Range,30270,1513500,85,50
September,America,Apparel,Performance,Compression Wear,Budget,20663,3719340,76,180
December,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,46062,9212400,75,200
May,India,Apparel,Tops,Therma-FIT,Mid-Range,28564,8283560,61,290
March,South Korea,Footwear,Lifestyle,Air Max,Budget,42786,9840780,79,230
December,America,Equipment,Accessories,Bags,Budget,23802,1428120,67,60
February,Japan,Apparel,Tops,Therma-FIT,Mid-Range,49553,7432950,52,150
February,Europe,Equipment,Socks,Crew Socks,Budget,16158,3070020,57,190
November,Greater China,Footwear,Running,React Infinity,Mid-Range,49696,12424000,68,250
December,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,6257,938550,53,150
July,Greater China,Footwear,Running,Air Zoom,Mid-Range,8970,627900,69,70
April,Greater China,Apparel,Outerwear,Rain Jacket,Premium,43178,9499160,59,220
May,Greater China,Footwear,Lifestyle,Blazer,Budget,6327,316350,79,50
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Premium,5233,313980,55,60
May,South Korea,Equipment,Socks,Performance Socks,Premium,32171,9007880,75,280
February,India,Footwear,Football,Phantom Vision,Premium,20661,2479320,76,120
July,South Korea,Equipment,Bags,Gym Sack,Mid-Range,17561,1580490,54,90
December,Southeast Asia,Footwear,Basketball,KD Series,Mid-Range,46991,7988470,84,170
October,America,Equipment,Accessories,Bags,Premium,44384,2219200,73,50
January,Europe,Equipment,Bags,Gym Sack,Mid-Range,16104,4670160,81,290
October,South Korea,Equipment,Accessories,Hats,Mid-Range,9054,1810800,66,200
October,South Korea,Footwear,Football,Mercurial,Budget,30338,2730420,67,90
September,Japan,Apparel,Tops,Therma-FIT,Mid-Range,41932,9225040,85,220
February,Japan,Apparel,Performance,Compression Wear,Budget,31387,1883220,70,60
May,Greater China,Equipment,Socks,Performance Socks,Mid-Range,41568,4156800,80,100
June,Japan,Apparel,Performance,Dri-FIT,Mid-Range,14607,1898910,65,130
January,Greater China,Footwear,Cricket,Vapor Cricket,Premium,40801,7752190,81,190
October,India,Equipment,Accessories,Bags,Budget,6248,1437040,86,230
August,Europe,Equipment,Accessories,Hats,Mid-Range,24322,1702540,90,70
August,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,22754,1592780,50,70
January,Southeast Asia,Equipment,Accessories,Bags,Budget,26422,6341280,75,240
November,India,Equipment,Socks,Crew Socks,Mid-Range,17729,4964120,90,280
April,Southeast Asia,Footwear,Cricket,Vapor Cricket,Premium,27108,7590240,56,280
April,America,Equipment,Socks,Performance Socks,Premium,10939,2406580,89,220
December,Japan,Apparel,Tops,Therma-FIT,Premium,5564,1613560,76,290
February,South Korea,Equipment,Accessories,Hats,Mid-Range,36239,2899120,57,80
February,Southeast Asia,Equipment,Accessories,Hats,Budget,12202,3660600,84,300
October,Japan,Apparel,Outerwear,Rain Jacket,Premium,42937,9875510,78,230
August,Southeast Asia,Equipment,Socks,Performance Socks,Budget,45014,9903080,73,220
August,America,Equipment,Bags,Gym Sack,Mid-Range,22727,4999940,70,220
May,Southeast Asia,Footwear,Basketball,LeBron Series,Premium,6052,605200,57,100
June,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,36206,8689440,88,240
September,Japan,Equipment,Socks,Crew Socks,Budget,37822,9455500,55,250
January,South Korea,Footwear,Running,React Infinity,Mid-Range,21488,3867840,75,180
January,Greater China,Apparel,Performance,Dri-FIT,Mid-Range,42388,3814920,88,90
March,Europe,Apparel,Performance,Dri-FIT,Mid-Range,15005,4051350,65,270
June,Japan,Footwear,Football,Phantom Vision,Budget,26728,6949280,83,260
May,Europe,Apparel,Tops,Tech Fleece,Budget,39375,7875000,69,200
February,Europe,Equipment,Socks,Crew Socks,Mid-Range,10259,1949210,86,190
October,Europe,Apparel,Outerwear,Rain Jacket,Budget,43390,5206800,73,120
July,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,21699,1518930,75,70
November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,41529,2491740,88,60
January,Europe,Footwear,Basketball,Air Jordan,Budget,48873,4887300,85,100
February,Japan,Apparel,Tops,Therma-FIT,Mid-Range,40890,8586900,67,210
April,Southeast Asia,Equipment,Accessories,Bags,Premium,11069,1549660,82,140
April,Southeast Asia,Apparel,Performance,Dri-FIT,Budget,14004,1400400,64,100
July,Japan,Apparel,Performance,Compression Wear,Budget,44925,9434250,86,210
July,America,Footwear,Cricket,Vapor Cricket,Mid-Range,31559,4102670,84,130
October,Japan,Footwear,Lifestyle,Blazer,Premium,30124,4518600,64,150
May,Southeast Asia,Apparel,Outerwear,Rain Jacket,Budget,42197,8861370,81,210
February,Greater China,Equipment,Socks,Performance Socks,Mid-Range,9846,1969200,65,200
July,Greater China,Apparel,Tops,Tech Fleece,Mid-Range,48881,6843340,54,140
March,South Korea,Equipment,Bags,Backpack,Budget,20261,3444370,71,170
November,America,Equipment,Socks,Performance Socks,Budget,10147,710290,64,70
March,Europe,Apparel,Tops,Tech Fleece,Mid-Range,39623,11886900,60,300
December,Europe,Equipment,Accessories,Bags,Premium,27059,6223570,76,230
April,Europe,Equipment,Accessories,Hats,Mid-Range,37570,10519600,68,280
September,India,Apparel,Performance,Compression Wear,Premium,11727,2110860,60,180
April,Japan,Footwear,Lifestyle,Air Force 1,Budget,27736,4160400,73,150
January,India,Apparel,Tops,Tech Fleece,Budget,10527,2947560,65,280
November,Japan,Apparel,Outerwear,Rain Jacket,Premium,44606,8475140,72,190
March,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,21784,2396240,54,110
December,Japan,Footwear,Basketball,LeBron Series,Mid-Range,42082,5049840,72,120
June,South Korea,Equipment,Socks,Performance Socks,Mid-Range,36864,3317760,69,90
June,Japan,Equipment,Socks,Performance Socks,Premium,19496,3509280,83,180
July,India,Equipment,Socks,Crew Socks,Budget,31357,6584970,70,210
February,Japan,Apparel,Tops,Tech Fleece,Budget,7242,1375980,69,190
May,India,Footwear,Basketball,KD Series,Budget,30014,6002800,74,200
May,America,Equipment,Accessories,Hats,Premium,40125,12037500,89,300
February,India,Apparel,Tops,Tech Fleece,Mid-Range,43169,2590140,88,60
July,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,35304,5648640,86,160
August,America,Footwear,Running,React Infinity,Budget,22851,3199140,50,140
November,South Korea,Equipment,Socks,Crew Socks,Premium,37209,5953440,57,160
July,Europe,Apparel,Outerwear,Rain Jacket,Premium,44025,4842750,83,110
March,India,Footwear,Basketball,KD Series,Budget,6731,403860,85,60
April,Japan,Equipment,Bags,Gym Sack,Budget,45787,5952310,73,130
March,Europe,Apparel,Performance,Compression Wear,Premium,17179,4638330,78,270
June,Europe,Equipment,Bags,Backpack,Budget,28407,1988490,71,70
July,Japan,Footwear,Basketball,LeBron Series,Premium,23375,5610000,64,240
February,Japan,Footwear,Running,React Infinity,Premium,39495,7504050,53,190
June,America,Equipment,Accessories,Bags,Mid-Range,11095,1886150,55,170
August,Greater China,Apparel,Performance,Dri-FIT,Budget,7317,585360,87,80
May,Greater China,Apparel,Tops,Tech Fleece,Premium,6153,676830,70,110
September,South Korea,Equipment,Accessories,Hats,Budget,25161,4277370,73,170
September,Europe,Apparel,Performance,Dri-FIT,Premium,24247,1212350,60,50
July,Japan,Footwear,Lifestyle,Air Force 1,Premium,32062,4809300,52,150
December,Greater China,Equipment,Accessories,Bags,Mid-Range,5748,287400,77,50
July,America,Equipment,Accessories,Hats,Premium,35610,8190300,82,230
February,India,Apparel,Tops,Tech Fleece,Premium,39308,10613160,82,270
March,America,Apparel,Performance,Compression Wear,Mid-Range,14492,724600,85,50
September,India,Apparel,Performance,Compression Wear,Budget,22409,2240900,88,100
December,Europe,Equipment,Bags,Backpack,Mid-Range,47159,8488620,63,180
June,South Korea,Footwear,Running,React Infinity,Budget,15441,1389690,69,90
October,America,Equipment,Socks,Crew Socks,Mid-Range,22124,4203560,66,190
July,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,42975,8165250,51,190
August,South Korea,Apparel,Tops,Therma-FIT,Mid-Range,31132,9339600,72,300
August,Greater China,Apparel,Performance,Compression Wear,Premium,33233,1993980,79,60
March,Japan,Footwear,Football,Phantom Vision,Budget,37977,5316780,63,140
April,Greater China,Equipment,Bags,Backpack,Premium,23761,4276980,58,180
January,Southeast Asia,Equipment,Accessories,Hats,Mid-Range,33515,7038150,79,210
December,Japan,Footwear,Cricket,Vapor Cricket,Premium,6901,1311190,85,190
June,Greater China,Equipment,Socks,Performance Socks,Premium,14683,1321470,77,90
June,Japan,Apparel,Performance,Dri-FIT,Mid-Range,46881,9376200,61,200
October,Greater China,Equipment,Socks,Crew Socks,Budget,10283,1748110,90,170
May,Europe,Apparel,Outerwear,Rain Jacket,Premium,42546,12338340,82,290
April,Southeast Asia,Equipment,Accessories,Bags,Premium,34149,9220230,66,270
January,India,Footwear,Cricket,Vapor Cricket,Premium,9058,1992760,67,220
